timestamp,ping,download,upload
1639955700677.0598,34.18,90.82,37.57
1639959300708.6191,24.95,93.91,37.78
1639962900731.089,25.33,92.75,36.5
1639966500757.101,25.53,92.01,35.24
1639970100769.6172,26.12,93.36,37.45
1639973700790.082,26.7,86.59,33.98
1639977300824.4219,37.95,93.64,37.7
1639980900838.431,26.62,93.73,37.33
1639984500861.9841,30.16,91.51,36.97
1639988100885.681,23.11,84.37,35.19
1639991700920.3801,14.17,91.66,37.23
1639995300937.803,14.56,94.46,36.3
1639998900961.167,25.41,91.87,36.62
1640002500986.615,18.37,75.37,35.63
1640006101008.648,18.79,93.5,36.35
1640009701033.182,17.58,94.48,36.9
1640013301053.69,15.82,49.33,36.77
1640016901069.108,14.59,92.09,36.68
1640020501092.45,20.52,87.44,36.56
1640024100123.647,22.53,75.63,37.25
1640027700136.454,23.19,47.53,36.17
1640031300169.389,33.56,79.48,20.21
1640034900193.87,23.89,90.18,37.57
1640038500215.053,31.8,90.1,36.75
1640042100229.459,35.33,91.87,36.36
1640045700261.863,25.38,87.32,35.95
1640049300280.232,29.92,93.62,36.88
1640052900305.761,22.39,93.98,37.31
1640056500329.446,15.37,94.09,36.96
1640060100346.4849,14.98,86.49,36.85
1640063700380.2732,29.8,91.22,37.13
1640067300401.652,23.18,52.26,37.31
1640070901250.582,25.34,91.82,37.23
1640074500445.868,20.1,94.38,36.08
1640078100456.928,14.59,94.47,35.68
1640081700494.53,15.15,94.31,37.24
1640085300634.212,24.54,93.65,36.04
1640088900617.254,16.65,92.94,37.21
1640092500641.105,15.9,90.48,35.61
1640096100664.896,28.49,86.14,37.47
1640099700670.527,19.86,85.95,37.14
1640103300710.792,19.88,89.34,37.41
1640106900733.531,24.43,82.53,37.54
1640110500739.757,15.52,87.04,35.76
1640114100769.177,15.33,91.64,34.38
1640117700802.287,22.4,75.21,35.0
1640121300819.764,14.14,88.42,36.56
1640124900844.493,14.55,90.34,36.79
1640128500859.699,36.85,89.65,37.4
1640132100883.89,25.85,91.59,37.31
1640135700905.429,41.6,89.3,37.37
1640139300929.799,31.88,87.42,36.49
1640142900952.6292,23.41,91.6,36.4
1640146500976.804,30.05,93.49,37.42
1640150101008.675,21.23,46.98,37.58
1640153701024.4,17.14,93.24,25.41
1640157301063.541,19.3,94.3,36.8
1640160901080.178,24.18,93.84,36.2
1640164501102.5469,19.42,39.92,34.57
1640168100127.4568,16.14,61.51,33.73
1640171700146.614,35.72,82.93,37.23
1640175300160.882,40.32,61.86,35.09
1640178900192.7979,22.91,94.16,36.58
1640182500214.136,21.26,83.33,35.44
1640186100229.5288,13.38,88.09,36.02
1640189700253.163,20.81,89.17,36.25
1640193300274.84,38.66,92.53,36.35
1640196900306.391,25.87,93.19,13.88
1640200500316.002,25.67,93.78,35.45
1640204100346.322,20.46,91.45,37.39
1640207700370.321,14.4,87.66,37.12
1640211300390.586,14.72,90.77,32.97
1640214900424.4749,38.1,88.04,36.36
1640218500436.847,28.22,91.17,37.04
1640222100472.1091,44.67,56.65,36.98
1640225700484.812,46.45,93.4,34.62
1640229300508.064,32.47,91.5,35.83
1640232900533.416,37.36,89.05,34.85
1640236500546.273,21.02,92.01,32.84
1640240100586.143,22.21,94.13,36.29
1640243700609.958,22.0,89.17,36.35
1640247300625.746,41.77,93.41,37.44
1640250900657.8318,28.34,93.72,36.76
1640254500678.673,27.9,93.57,37.2
1640258100694.487,37.69,93.6,37.66
1640261700707.603,26.19,93.86,36.34
1640265300749.1382,28.99,94.3,36.19
1640268900761.077,19.68,84.6,36.35
1640272500794.281,19.54,92.17,36.78
1640276100814.795,19.64,93.28,38.11
1640279700841.0798,42.68,80.93,34.53
1640283300863.906,28.41,90.96,37.33
1640286900888.9211,25.55,88.48,33.83
1640290500913.5051,31.77,84.77,36.81
1640294100929.42,22.06,63.31,33.07
1640297700961.586,26.86,65.14,37.11
1640301300980.543,31.25,90.28,26.51
1640304901005.135,32.52,88.16,37.49
1640308501020.99,31.7,82.54,37.72
1640312101041.313,33.22,92.32,37.22
1640315701074.6292,29.64,93.96,36.15
1640319301081.124,29.95,92.65,28.35
1640322901123.858,26.49,62.66,36.68
1640326500134.366,13.99,92.23,34.88
1640330100159.96,14.29,94.45,36.06
1640333700189.2852,24.16,90.86,35.9
1640337300214.577,16.47,80.15,37.27
1640340900237.2651,15.8,74.66,36.74
1640344500247.309,38.13,80.14,36.66
1640348100331.8801,26.67,93.18,35.13
1640351700304.655,40.8,53.73,36.68
1640355300328.318,24.17,93.48,35.02
1640358900349.455,28.01,91.83,37.2
1640362500365.711,29.72,93.97,36.14
1640366100386.011,41.0,91.48,36.79
1640369700423.048,27.79,93.81,37.39
1640373300437.32,39.99,92.92,37.28
1640376900460.423,27.29,94.21,37.27
1640380500486.13,16.4,94.29,35.58
1640384100509.5999,19.37,94.31,31.26
1640387700539.498,38.82,92.6,32.46
1640391300563.122,23.18,93.89,36.46
1640394900577.43,35.56,62.69,36.72
1640398500601.5798,60.2,91.46,37.26
1640402100626.205,25.82,93.62,37.62
1640405700648.696,32.02,62.77,37.56
1640409300678.189,23.06,94.51,37.05
1640412900694.1719,18.6,94.42,37.59
1640416500726.465,20.64,94.33,37.06
1640420100741.525,17.72,94.65,36.82
1640423700760.8892,19.05,91.99,37.0
1640427300786.225,16.31,85.1,35.62
1640430900809.341,26.67,56.53,36.73
1640434500835.284,16.27,94.33,35.84
1640438100857.507,14.77,94.5,36.94
1640441700880.8489,14.97,94.3,35.34
1640445300904.683,22.67,94.41,36.32
1640448900928.7568,15.16,46.94,36.92
1640452500961.063,15.48,94.35,36.66
1640456100983.9612,15.54,94.26,34.54
1640459701008.415,16.71,94.39,36.55
1640463301030.503,14.17,94.53,36.91
1640466901052.918,15.04,92.87,37.09
1640470501077.928,14.77,94.19,37.41
1640474101099.181,35.76,94.34,37.44
1640477700121.772,26.78,92.87,36.92
1640481300130.794,36.65,75.37,20.17
1640484900168.0232,39.98,93.25,35.66
1640488500191.4548,26.72,93.97,37.8
1640492100206.1292,28.28,91.31,34.75
1640495700239.044,36.57,91.79,37.16
1640499300260.783,22.49,92.37,35.14
1640502900280.159,21.9,93.98,36.57
1640506500309.341,24.7,94.07,37.53
1640510100334.466,14.32,94.12,36.84
1640513700356.811,17.91,93.49,37.31
1640517300372.866,19.29,94.2,36.93
1640520900391.762,17.01,88.69,37.04
1640524500425.41,16.06,93.26,37.39
1640528100437.865,22.09,78.94,36.18
1640531700471.88,17.22,92.91,37.03
1640535300494.697,17.39,90.8,36.3
1640538900517.81,26.32,93.52,36.78
1640542500532.829,14.55,94.15,37.46
1640546100568.035,15.58,91.83,36.46
1640549700576.301,22.03,94.01,29.59
1640553300613.436,20.02,93.84,34.64
1640556900638.797,19.6,92.46,37.17
1640560500661.134,42.2,93.59,35.78
1640564100685.081,31.71,92.03,37.48
1640567700698.555,32.19,93.41,37.91
1640571300720.9001,44.82,93.79,35.38
1640574900745.597,30.36,93.16,37.08
